"","value","count","lc20_bps_220","lc24_s_cla_250","s_usa_polygon_to_raster","bps_model","bps_name","groupveg","fri_replac","fri_mixed","fri_surfac","fri_allfir","label","region","forestname","raw_acres"
"30",2935,6512,1610,7,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"UE",9,"Superior National Forest",1448
"31",2936,4384,2724,6,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"UN",9,"Superior National Forest",975
"32",2937,14675,1608,120,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"Developed",9,"Superior National Forest",3264
"33",2938,3027,1610,120,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"Developed",9,"Superior National Forest",673
"34",2939,6326,2724,4,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"D",9,"Superior National Forest",1407
"35",2940,34315,1593,120,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"Developed",9,"Superior National Forest",7631
"36",2941,11395,1598,3,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"C",9,"Superior National Forest",2534
"37",2942,21016,1602,7,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"UE",9,"Superior National Forest",4674
"38",2943,11962,1605,7,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"UE",9,"Superior National Forest",2660
"39",2944,70978,1608,1,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"A",9,"Superior National Forest",15785
"40",2945,17977,1597,120,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"Developed",9,"Superior National Forest",3998
"41",2946,5778,2724,7,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"UE",9,"Superior National Forest",1285
"42",2947,279,1613,180,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"Agriculture",9,"Superior National Forest",62
"43",2948,28507,1597,7,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"UE",9,"Superior National Forest",6340
"44",2949,1450,1610,180,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"Agriculture",9,"Superior National Forest",322
"45",2950,11654,1597,1,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"A",9,"Superior National Forest",2592
"46",2951,1015,1608,180,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"Agriculture",9,"Superior National Forest",226
"47",2952,338069,1597,4,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"D",9,"Superior National Forest",75185
"48",2953,4613,2724,120,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"Developed",9,"Superior National Forest",1026
"49",2954,498,1613,3,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"C",9,"Superior National Forest",111
"50",2955,15,1613,132,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"Barren or Sparse",9,"Superior National Forest",3
"51",2956,2254,1598,132,47,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"Barren or Sparse",9,"Superior National Forest",501
"52",2957,112,1608,132,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"Barren or Sparse",9,"Superior National Forest",25
"53",2958,70,1610,132,47,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"Barren or Sparse",9,"Superior National Forest",16
"54",2959,1127135,1596,4,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"D",9,"Superior National Forest",250669
"55",2960,27028,1596,120,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"Developed",9,"Superior National Forest",6011
"56",2961,52474,1596,3,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"C",9,"Superior National Forest",11670
"57",2962,436014,1605,6,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"UN",9,"Superior National Forest",96967
"58",2963,2054,1607,6,47,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"UN",9,"Superior National Forest",457
"59",2964,12692,1597,132,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"Barren or Sparse",9,"Superior National Forest",2823
"60",2965,34392,1596,7,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"UE",9,"Superior National Forest",7649
"61",2966,411,2724,180,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"Agriculture",9,"Superior National Forest",91
"62",2967,2062,1593,180,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"Agriculture",9,"Superior National Forest",459
"63",2968,30453,1596,1,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"A",9,"Superior National Forest",6773
"64",2969,363684,1605,3,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"C",9,"Superior National Forest",80881
"65",2970,64,1606,6,47,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",0,432,67,58,"UN",9,"Superior National Forest",14
"66",2971,16,1606,3,47,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",0,432,67,58,"C",9,"Superior National Forest",4
"67",2972,30929,1605,2,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"B",9,"Superior National Forest",6878
"68",2973,23,1608,5,47,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"E",9,"Superior National Forest",5
"69",2974,5649,1596,180,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"Agriculture",9,"Superior National Forest",1256
"70",2975,1845,1593,2,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"B",9,"Superior National Forest",410
"71",2976,3662,1605,1,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"A",9,"Superior National Forest",814
"72",2977,979,1607,3,47,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"C",9,"Superior National Forest",218
"73",2978,11005,1588,6,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"UN",9,"Superior National Forest",2447
"74",2979,36932,1588,5,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"E",9,"Superior National Forest",8213
"75",2980,5566,1605,120,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"Developed",9,"Superior National Forest",1238
"76",2981,10,1588,180,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"Agriculture",9,"Superior National Forest",2
"77",2982,545,1588,120,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"Developed",9,"Superior National Forest",121
"78",2983,821,1605,180,47,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"Agriculture",9,"Superior National Forest",183
"79",2984,1082,1588,7,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"UE",9,"Superior National Forest",241
"80",2985,2539,1596,2,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"B",9,"Superior National Forest",565
"81",2986,34,1591,6,47,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"UN",9,"Superior National Forest",8
"82",2987,6,1591,7,47,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"UE",9,"Superior National Forest",1
"83",2988,5,1591,3,47,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"C",9,"Superior National Forest",1
"84",2989,17,1591,2,47,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"B",9,"Superior National Forest",4
"85",2990,1043,1588,2,47,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"B",9,"Superior National Forest",232
"86",2991,9501,1602,120,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"Developed",9,"Superior National Forest",2113
"87",2992,15,1607,7,47,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"UE",9,"Superior National Forest",3
"88",2993,1,1609,6,47,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,0,0,987,"UN",9,"Superior National Forest",0
"89",2994,6436,1602,1,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"A",9,"Superior National Forest",1431
"90",2995,4,1607,120,47,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"Developed",9,"Superior National Forest",1
"91",2996,524,1602,180,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"Agriculture",9,"Superior National Forest",117
"92",2997,351,1607,2,47,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"B",9,"Superior National Forest",78
"93",2998,51,1596,132,47,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"Barren or Sparse",9,"Superior National Forest",11
"94",2999,411,1593,4,47,"13440_41","Boreal Jack Pine-Black Spruce Forest","Conifer",82,0,0,82,"D",9,"Superior National Forest",91
"95",3000,165,2724,132,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"Barren or Sparse",9,"Superior National Forest",37
"96",3001,498,1597,180,47,"13652_41","Boreal White Spruce-Fir-Hardwood Forest-Coastal","Conifer",939,1147,0,516,"Agriculture",9,"Superior National Forest",111
"97",3002,26,2724,5,47,"13622_41_50","Laurentian-Acadian Northern Pine(-Oak) Forest-Pine Dominated","Hardwood-Conifer",230,0,40,34,"E",9,"Superior National Forest",6
"98",3003,3132,-1111,-1111,47,"-1111","Fill-Not Mapped","Fill-Not Mapped",0,0,0,0,"Fill-Not Mapped",9,"Superior National Forest",697
"99",3004,8,1613,1,47,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"A",9,"Superior National Forest",2
"100",3005,9453,1602,2,47,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"B",9,"Superior National Forest",2102
"101",3006,2,1609,3,47,"14790_41_42_47_48_50_51_53","Central Interior and Appalachian Swamp Systems","Riparian",987,0,0,987,"C",9,"Superior National Forest",0
"102",3007,2,1606,7,47,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",0,432,67,58,"UE",9,"Superior National Forest",0
"103",3008,78,1601,5,47,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,"E",9,"Superior National Forest",17
"104",3009,78,1601,4,47,"14071_41_50_51","Laurentian Pine-Oak Barrens","Hardwood-Conifer",109,75,5,4,"D",9,"Superior National Forest",17
"105",4765,412218,1610,4,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"D",9,"Chippewa National Forest",91675
"106",4766,39186,1610,2,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"B",9,"Chippewa National Forest",8715
"107",4767,537305,1608,4,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"D",9,"Chippewa National Forest",119494
"108",4768,802401,1596,4,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"D",9,"Chippewa National Forest",178450
"109",4769,34512,1596,3,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"C",9,"Chippewa National Forest",7675
"110",4770,12950,1605,6,44,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"UN",9,"Chippewa National Forest",2880
"111",4771,20576,1605,3,44,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"C",9,"Chippewa National Forest",4576
"112",4772,28956,1596,120,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"Developed",9,"Chippewa National Forest",6440
"113",4773,26367,1596,1,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"A",9,"Chippewa National Forest",5864
"114",4774,24508,1596,7,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"UE",9,"Chippewa National Forest",5450
"115",4775,315548,1608,3,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"C",9,"Chippewa National Forest",70176
"116",4776,58547,1608,1,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"A",9,"Chippewa National Forest",13021
"117",4777,66473,1608,2,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"B",9,"Chippewa National Forest",14783
"118",4778,69713,1613,6,44,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"UN",9,"Chippewa National Forest",15504
"119",4779,805,1613,7,44,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"UE",9,"Chippewa National Forest",179
"120",4780,67016,1610,3,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"C",9,"Chippewa National Forest",14904
"121",4781,541,1605,7,44,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"UE",9,"Chippewa National Forest",120
"122",4782,77647,1610,1,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"A",9,"Chippewa National Forest",17268
"123",4783,10719,1610,7,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"UE",9,"Chippewa National Forest",2384
"124",4784,11790,1613,2,44,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"B",9,"Chippewa National Forest",2622
"125",4785,3375,1588,7,44,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"UE",9,"Chippewa National Forest",751
"126",4786,46542,1588,6,44,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"UN",9,"Chippewa National Forest",10351
"127",4787,121767,1588,5,44,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"E",9,"Chippewa National Forest",27080
"128",4788,5287,1608,7,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"UE",9,"Chippewa National Forest",1176
"129",4789,32233,1608,6,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"UN",9,"Chippewa National Forest",7168
"130",4790,7520,1610,120,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"Developed",9,"Chippewa National Forest",1672
"131",4791,5355,1588,2,44,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"B",9,"Chippewa National Forest",1191
"132",4792,36348,1596,180,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"Agriculture",9,"Chippewa National Forest",8084
"133",4793,1125,1605,2,44,"14440_41_50_51","Eastern Boreal Floodplain","Hardwood",0,581,312,203,"B",9,"Chippewa National Forest",250
"134",4794,1299780,11,111,44,"0","Open Water","Open Water",0,0,0,0,"Water",9,"Chippewa National Forest",289064
"135",4795,348024,1598,2,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"B",9,"Chippewa National Forest",77399
"136",4796,414,1596,2,44,"13651_40_41_50","Boreal White Spruce-Fir-Hardwood Forest-Inland","Conifer",250,1468,0,213,"B",9,"Chippewa National Forest",92
"137",4797,14143,1598,1,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"A",9,"Chippewa National Forest",3145
"138",4798,1877,1613,4,44,"14940_41_50_51","Laurentian-Acadian Shrub-Herbaceous Wetland Systems","Riparian",18,0,0,18,"D",9,"Chippewa National Forest",417
"139",4799,313878,1607,6,44,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"UN",9,"Chippewa National Forest",69805
"140",4800,40792,1598,6,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"UN",9,"Chippewa National Forest",9072
"141",4801,16506,1598,7,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"UE",9,"Chippewa National Forest",3671
"142",4802,5392,1610,180,44,"14810_41_50_51_63","Laurentian-Acadian Alkaline Conifer-Hardwood Swamp","Riparian",989,0,0,989,"Agriculture",9,"Chippewa National Forest",1199
"143",4803,230774,1591,3,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"C",9,"Chippewa National Forest",51323
"144",4804,62173,1591,6,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"UN",9,"Chippewa National Forest",13827
"145",4805,533670,1602,3,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"C",9,"Chippewa National Forest",118685
"146",4806,5213,1607,7,44,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"UE",9,"Chippewa National Forest",1159
"147",4807,2433,1588,180,44,"13022_41_50_51","Laurentian-Acadian Northern Hardwoods Forest-Hemlock","Hardwood",2040,0,0,2040,"Agriculture",9,"Chippewa National Forest",541
"148",4808,8064,1608,120,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"Developed",9,"Chippewa National Forest",1793
"149",4809,13243,1591,120,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"Developed",9,"Chippewa National Forest",2945
"150",4810,5854,1602,180,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"Agriculture",9,"Chippewa National Forest",1302
"151",4811,7095,1591,7,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"UE",9,"Chippewa National Forest",1578
"152",4812,16875,1598,180,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"Agriculture",9,"Chippewa National Forest",3753
"153",4813,8005,1591,180,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"Agriculture",9,"Chippewa National Forest",1780
"154",4814,82303,1607,3,44,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"C",9,"Chippewa National Forest",18304
"155",4815,12779,1602,7,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"UE",9,"Chippewa National Forest",2842
"156",4816,9155,1591,2,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"B",9,"Chippewa National Forest",2036
"157",4817,10849,1602,1,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"A",9,"Chippewa National Forest",2413
"158",4818,3098,1602,2,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"B",9,"Chippewa National Forest",689
"159",4819,25097,1607,2,44,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"B",9,"Chippewa National Forest",5581
"160",4820,2317,1607,180,44,"14750_41_50_51_63_64_65_66","Laurentian-Acadian Floodplain Systems","Riparian",0,435,68,59,"Agriculture",9,"Chippewa National Forest",515
"161",4821,148,1606,6,44,"14710_41_50","Central Interior and Appalachian Floodplain Systems","Riparian",0,432,67,58,"UN",9,"Chippewa National Forest",33
"162",4822,339,1591,1,44,"13140_38_39_40_41_42_43_44_50","North-Central Interior Maple-Basswood Forest","Hardwood",1027,0,857,467,"A",9,"Chippewa National Forest",75
"163",4823,28364,1602,120,44,"14072_41_50_51","Laurentian Pine-Oak Barrens-Jack Pine","Conifer",25,46,18,8,"Developed",9,"Chippewa National Forest",6308
"164",4824,18221,1598,120,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"Developed",9,"Chippewa National Forest",4052
"165",4825,1833,1598,3,44,"13653_41","Boreal White Spruce-Fir-Hardwood Forest-Aspen-Birch","Conifer",112,243,0,76,"C",9,"Chippewa National Forest",408
"166",4826,2205,1608,180,44,"14770_40_41_50_51","Boreal Acidic Peatland Systems","Riparian",716,0,123,105,"Agriculture",9,"Chippewa National Forest",490
